Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,170.16000400000001,172.300003,169.259995,172.259995,172.259995,25555900
2018-01-03,172.529999,174.550003,171.96000700000002,172.229996,172.229996,29517900
2018-01-04,172.53999299999998,173.470001,172.080002,173.029999,173.029999,22434600
2018-01-05,173.440002,175.369995,173.050003,175.0,175.0,23660000
2018-01-08,174.350006,175.610001,173.929993,174.350006,174.350006,20567800
2018-01-09,174.550003,175.059998,173.41000400000001,174.330002,174.330002,21584000
2018-01-10,173.16000400000001,174.300003,173.0,174.28999299999998,174.28999299999998,23959900
2018-01-11,174.58999599999999,175.490005,174.490005,175.279999,175.279999,18667700
2018-01-12,176.179993,177.360001,175.649994,177.08999599999999,177.08999599999999,25418100
2018-01-16,177.899994,179.389999,176.139999,176.190002,176.190002,29565900
2018-01-17,176.149994,179.25,175.070007,179.100006,179.100006,34386800
2018-01-18,179.369995,180.100006,178.25,179.259995,179.259995,31193400
2018-01-19,178.610001,179.580002,177.41000400000001,178.46000700000002,178.46000700000002,32425100
2018-01-22,177.300003,177.779999,176.600006,177.0,177.0,27108600
2018-01-23,177.300003,179.440002,176.820007,177.03999299999998,177.03999299999998,32689100
2018-01-24,177.25,177.300003,173.199997,174.220001,174.220001,51105100
2018-01-25,174.509995,174.949997,170.529999,171.110001,171.110001,41529000
2018-01-26,172.0,172.0,170.059998,171.509995,171.509995,39143000
2018-01-29,170.16000400000001,170.16000400000001,167.070007,167.96000700000002,167.96000700000002,50640400
2018-01-30,165.529999,167.369995,164.699997,166.970001,166.970001,46048200
2018-01-31,166.869995,168.440002,166.5,167.429993,167.429993,32478900
2018-02-01,167.169998,168.619995,166.759995,167.779999,167.779999,38428800
